video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=zy7vUppYPC8&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@DWDocumentary,DW Documentary,Will renewables stop the climate crisis? | DW Documentary,189K,1 month,"The film travels to places that could one day become the Saudi Arabia of renewable energies. For example, gigantic offshore wind ...",2024-01-26 22:24:55.147405
/watch?v=E39neWnw9AA&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TheEconomist,The Economist,How green is the energy revolution really?,247K,2 months,14:20 Texas: the anti-green future of clean energy 18:09 Do environmentalists need to change? Sign up to The Economist's daily ...,2024-01-26 22:24:55.150093
/watch?v=w16-Uems2Qo&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@SmileandLearnEnglish,Smile and Learn - English,Types of Energy for Kids - Renewable and Non-Renewable Energies,474K,3 years,Educational video for children to learn what energy is and what renewable and non-renewable energies are. In this compilation ...,2024-01-26 22:24:55.153786
/watch?v=-Q-QNnKUutM&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@PBSNewsHour,PBS NewsHour,Texas goes green: How oil country became the renewable energy leader,45K,1 month,One of the big announcements at the UN climate conference this weekend in Dubai was a pledge by more than 110 countries to ...,2024-01-26 22:25:06.353502
/watch?v=EAU5D8hqIUI&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TED,TED,A Faster Way to Get to a Clean Energy Future | Ramez Naam | TED,108K,9 months,"When it comes to cost, clean energy is bound to beat out fossil fuels, says technologist Ramez Naam. But the hesitancy to build ...",2024-01-26 22:25:06.356195
/watch?v=utgvD2E5Q0Q&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@NBCNews,NBC News,Texas leads U.S. in renewable energy sources,44K,4 months,Texas is the biggest oil producing state in the country and now it is also the leading producer of wind energy and the second in ...,2024-01-26 22:25:06.358865
/watch?v=LedluXilThA&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@stockmarketcommando,Stock Market का Commando,IREDA ( TARGET 1000 ? )🔥🔴 TATA POWER ( TARGET 1000 ? )🔴 ROOFTOP SOLAR 🔴 RENEWABLE ENERGY SHARES SMKC,136K,1 day,FREE Stock Market Classes : @STOCKMARKETCLASSES https://www.youtube.com/channel/UCY3c... Three 3 Best Penny ...,2024-01-26 22:25:06.363180
/watch?v=z-k5uS7ALXk&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@Vox,Vox,How to fix clean energy’s storage problem,426K,8 months,We can't truly switch to renewable energy without a breakthrough. Subscribe and turn on notifications so you don't miss any ...,2024-01-26 22:25:06.366479
/watch?v=b1LQSezKxnA&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@business,Bloomberg Originals,How China Plans to Win the Future of Energy,1.9M,1 year,"China, the world's biggest polluter, has committed to reach net zero emissions by 2060, an ambitious goal matched by enormous ...",2024-01-26 22:25:06.369729
/watch?v=u-DsDuTceTo&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@DWPlanetA,DW Planet A,This is what's REALLY holding back wind and solar,293K,7 months,#PlanetA #RenewableEnergy #Grid Read More: Integrating Renewable Energy Resources into the Grid: ...,2024-01-26 22:25:06.373347
